,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,precision_weighted_mean,precision_weighted_std,recall_macro_mean,recall_macro_std,recall_weighted_mean,recall_weighted_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,criterion,max_depth,max_leaf_nodes,min_samples_split,splitter
14,0.7054637908675175,0.0263063481195194,0.6600341147385809,0.024789883066582457,0.7030147830745747,0.024814541677612618,0.6507795869382862,0.03323829925058817,0.7054637908675175,0.0263063481195194,0.6510267566313064,0.02827349290074793,0.7000974899012465,0.02588972989776038,gini,,50.0,50,best
15,0.5240086000955566,0.03800600600064935,0.4937973658326581,0.0364116843486943,0.5138582131290932,0.03615262853681675,0.4609898503424431,0.0240593437587176,0.5240086000955566,0.03800600600064935,0.44729630971802514,0.02160310596292632,0.5012995075328992,0.03249377615030304,gini,,50.0,50,random
16,0.7054637908675175,0.0263063481195194,0.6600341147385809,0.024789883066582457,0.7030147830745747,0.024814541677612618,0.6507795869382862,0.03323829925058817,0.7054637908675175,0.0263063481195194,0.6510267566313064,0.02827349290074793,0.7000974899012465,0.02588972989776038,gini,,50.0,100,best
17,0.5305439901713194,0.04621008822119404,0.47460452602607317,0.060064643415433196,0.5089553745119417,0.04709412696944922,0.46554707029657316,0.037641542347516155,0.5305439901713194,0.04621008822119404,0.44086510176363725,0.03993457696962147,0.49779988559652577,0.04833151397247962,gini,,50.0,100,random
18,0.7103269401406048,0.026074958289008316,0.6670498190873069,0.02891265705086253,0.7072608151000803,0.0240969899144123,0.6583242594707759,0.030005898539115422,0.7103269401406048,0.026074958289008316,0.6583059450012877,0.027770480643772154,0.705278782470906,0.02513643625521594,gini,,100.0,2,best
19,0.5404067981707734,0.02931163057696253,0.5039049048407113,0.013364689414534801,0.5286521021134704,0.0227668914528944,0.4738645069804092,0.021404786856925852,0.5404067981707734,0.02931163057696253,0.45962118102482663,0.02950649412982571,0.5184951651680166,0.03424301069605451,gini,,100.0,2,random
20,0.7103440038222647,0.026101627296631513,0.6670593808477461,0.028925718358418135,0.7072751069195125,0.024117437387650785,0.6583382454847619,0.030022053803697817,0.7103440038222647,0.026101627296631513,0.6583174711716744,0.027784803680520317,0.7052941154359182,0.025159362161003535,gini,,100.0,50,best
21,0.49563169749505154,0.0352035125491834,0.4717069630007844,0.06335576379426991,0.49064900247037263,0.04772870055274543,0.4425383226446834,0.033990644091473614,0.49563169749505154,0.0352035125491834,0.42352873669131713,0.03430705761417833,0.4688140257894589,0.03621170392406567,gini,,100.0,50,random
22,0.7119479898983004,0.024792131905219183,0.6681390539403652,0.027625150949721667,0.7078572307793195,0.02378027571747915,0.6596581051939446,0.02858746370382633,0.7119479898983004,0.024792131905219183,0.6593905131802333,0.026538501065827114,0.7063846934405813,0.024211586974956158,gini,,100.0,100,best
23,0.5562589584328715,0.015661253024836536,0.5290447824556497,0.016524351538523642,0.5504095277981139,0.015133048141235589,0.48496976045277157,0.026752308478029077,0.5562589584328715,0.015661253024836536,0.47522989522848513,0.02585835508057858,0.5334249233727807,0.020320160461206785,gini,,100.0,100,random
24,0.7134154665210566,0.024819974037887476,0.6713751103522007,0.021236690439672447,0.7086660698253406,0.0219337651686721,0.656373088128682,0.026304676222054207,0.7134154665210566,0.024819974037887476,0.6599908152596661,0.022366443579834413,0.7083290405526331,0.0233617555385127,gini,10.0,,2,best
25,0.5265852160262098,0.027836299316640917,0.488253200361161,0.038513386014151454,0.5181732404369158,0.03467228973585274,0.4612564146898622,0.024295201213399516,0.5265852160262098,0.027836299316640917,0.45131485293090684,0.022132963290003534,0.5082287372609551,0.025081983067297215,gini,10.0,,2,random
26,0.7117773530817009,0.02495139148152648,0.6700800528267559,0.02105317839634433,0.7070007591686738,0.022286684764112472,0.6533296687250223,0.027270832664884035,0.7117773530817009,0.02495139148152648,0.6576562430886389,0.022872508699588245,0.7065304419086206,0.023717987528561427,gini,10.0,,50,best
27,0.523872090642277,0.033797200797806605,0.4943734821493019,0.02785903536997639,0.5163514232074558,0.018028844711757277,0.4387017535052416,0.04663269946535324,0.523872090642277,0.033797200797806605,0.4285871924137661,0.04391436297468524,0.499098883524046,0.0360753617293989,gini,10.0,,50,random
28,0.7112825063135622,0.022751359405612216,0.6696128499686856,0.018121693644211543,0.7062700920445861,0.020614541754731576,0.6536908307199367,0.024763321397023877,0.7112825063135622,0.022751359405612216,0.6575860168522215,0.020300042654925528,0.7059093934095017,0.02168768296074604,gini,10.0,,100,best
29,0.5588697017268447,0.027788392879694576,0.5341774146314567,0.04292645580238524,0.5521027715252312,0.0322321633500884,0.48167758858014764,0.01757780536412045,0.5588697017268447,0.027788392879694576,0.4721531706033435,0.021772807393321034,0.5373827335839738,0.024043963485939446,gini,10.0,,100,random
30,0.6662343867312811,0.02863275613462992,0.5624829795967373,0.04682296295712049,0.6262079174522847,0.03471734651555761,0.5704425025413065,0.030768808102930527,0.6662343867312811,0.02863275613462992,0.5599494247056267,0.03444741850255313,0.6410077663279994,0.030370367793866957,gini,10.0,20.0,2,best
31,0.43780288034946424,0.02532744168091313,0.36653282639158696,0.021868613686994793,0.4116778697676754,0.024426464409564058,0.3909094151065545,0.027292863667257406,0.43780288034946424,0.02532744168091313,0.36775794199555367,0.022199792224765962,0.41167326273183735,0.027589049972008454,gini,10.0,20.0,2,random
32,0.6662343867312811,0.02863275613462992,0.5624829795967373,0.04682296295712049,0.6262079174522847,0.03471734651555761,0.5704425025413065,0.030768808102930527,0.6662343867312811,0.02863275613462992,0.5599494247056267,0.03444741850255313,0.6410077663279994,0.030370367793866957,gini,10.0,20.0,50,best
33,0.4421541191727527,0.03200589969315789,0.36701047809286963,0.05264333237308599,0.4264946015753921,0.04355237532213696,0.36708161944305584,0.05481821721002858,0.4421541191727527,0.03200589969315789,0.33346577903475544,0.04815615255895198,0.4008460871498075,0.03463555801598577,gini,10.0,20.0,50,random
34,0.6662343867312811,0.02863275613462992,0.5624829795967373,0.04682296295712049,0.6262079174522847,0.03471734651555761,0.5704425025413065,0.030768808102930527,0.6662343867312811,0.02863275613462992,0.5599494247056267,0.03444741850255313,0.6410077663279994,0.030370367793866957,gini,10.0,20.0,100,best
