,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,precision_weighted_mean,precision_weighted_std,recall_macro_mean,recall_macro_std,recall_weighted_mean,recall_weighted_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,criterion,max_depth,max_features,max_leaf_nodes,min_samples_split,n_estimators,n_jobs
0,0.7221179441676335,0.02344564141863941,0.6859139255620086,0.02279852033126049,0.7195846699279952,0.022425319799590657,0.6782822594528155,0.02572762887448827,0.7221179441676335,0.02344564141863941,0.6799076553979919,0.023195337846503496,0.718987362881286,0.022558973681303243,gini,,sqrt,,2,50,-1
1,0.7229370008873114,0.022661822002684615,0.6878396389632072,0.02161758951833868,0.7204673954236183,0.021513418452716895,0.6788460007177717,0.025561072637688347,0.7229370008873114,0.022661822002684615,0.6810862238035713,0.02259207689899605,0.7198353756479237,0.021808197463538747,gini,,sqrt,,2,100,-1
2,0.7235683571087298,0.023181951996769517,0.6887611314302409,0.02136247799798067,0.7212014114403649,0.021909152700980504,0.6795861138919437,0.025682785093051268,0.7235683571087298,0.023181951996769517,0.6817679250256061,0.022433419453839372,0.7204231998916324,0.022254601648532536,gini,,sqrt,,2,200,-1
3,0.7341649034195619,0.022929239292984974,0.6977650136867027,0.024987743348271613,0.7289897162281805,0.02246254183944652,0.6779306729240367,0.025725039217377666,0.7341649034195619,0.022929239292984974,0.6825010269402406,0.02310784538194586,0.7280791117823011,0.02199193395029882,gini,,sqrt,,50,50,-1
4,0.735598252678998,0.02414512160797221,0.7002802859382047,0.025373640838207714,0.7306258554532713,0.02358789165741278,0.6796751663588502,0.02753390213515545,0.735598252678998,0.02414512160797221,0.6847611076611576,0.024689548366640345,0.7296666749805144,0.023379293939209792,gini,,sqrt,,50,100,-1
5,0.7357176984506177,0.02391653802662525,0.6996363482420929,0.025474156332090128,0.7303653513003512,0.023474623246096938,0.6791110085098279,0.026742833652182066,0.7357176984506177,0.02391653802662525,0.68393450210484,0.024189112345835394,0.7295391601177935,0.023179664480263127,gini,,sqrt,,50,200,-1
6,0.7301890655927923,0.023883888378917844,0.6946929966267565,0.022810227130697774,0.7241998379205061,0.022275262660156312,0.6700027170982832,0.02597032891465136,0.7301890655927923,0.023883888378917844,0.6754792105335632,0.02177502383706363,0.7228661251178172,0.02244751646362873,gini,,sqrt,,100,50,-1
7,0.7311275680840899,0.02492079874502021,0.6958482399946888,0.02542137474056751,0.7251905241871804,0.02365556371386582,0.6706442852011432,0.027540949573924504,0.7311275680840899,0.02492079874502021,0.6763078170968767,0.023820657617851484,0.7238039678596798,0.02364351499034637,gini,,sqrt,,100,100,-1
8,0.7313493959456693,0.024972696651906247,0.6961964951119495,0.025624335185543943,0.7254607177144198,0.02360367579159192,0.6704284329496625,0.027626121751263267,0.7313493959456693,0.024972696651906247,0.6761927407082151,0.023959984068528412,0.7239144109765688,0.023726391034881503,gini,,sqrt,,100,200,-1
9,0.6580779468978226,0.04177134900429219,0.546460914616714,0.02102534068713005,0.6090404158325926,0.03555481658311971,0.5488166911537454,0.040213145865149125,0.6580779468978226,0.04177134900429219,0.5344162377403623,0.034025559959578,0.6234854941087558,0.03973510809721397,gini,,sqrt,10.0,2,50,-1
10,0.6571565080881852,0.038983339212673745,0.5429465325623677,0.02348134777267067,0.6098018155809809,0.033959678164247435,0.5456425265861784,0.03900927155803044,0.6571565080881852,0.038983339212673745,0.5304792651367705,0.03126445665986385,0.6227422221130169,0.03699127315639361,gini,,sqrt,10.0,2,100,-1
11,0.6599208245170978,0.039768951950215396,0.5443903021638665,0.01948531721434,0.6103648813963471,0.0340717336981717,0.5495309423942023,0.03682232240869937,0.6599208245170978,0.039768951950215396,0.535375270907241,0.029662621280921446,0.6257588553885158,0.036935854286738665,gini,,sqrt,10.0,2,200,-1
12,0.6538290901644939,0.040561125058311394,0.5370297161511264,0.02301413952647144,0.6048126104318324,0.03503348643629435,0.540362297124065,0.039112953613110735,0.6538290901644939,0.040561125058311394,0.5261283542423801,0.03275051359443598,0.6194041575757132,0.03836364672960823,gini,,sqrt,10.0,50,50,-1
13,0.6625486314927309,0.0414542541019092,0.5397461899652218,0.024497811389270305,0.6089806363151558,0.03713903752870077,0.5528319628518593,0.03723945881350467,0.6625486314927309,0.0414542541019092,0.5372552329387341,0.032400771083458756,0.6281929343640404,0.039620212789689045,gini,,sqrt,10.0,50,100,-1
14,0.6570711896798854,0.03959566570842442,0.5412058678292317,0.01990612066200571,0.6070128962858237,0.03387625833424092,0.546056087262843,0.03694702298479031,0.6570711896798854,0.03959566570842442,0.5312351285711515,0.030139658687858523,0.6221123914809802,0.03679334591363041,gini,,sqrt,10.0,50,200,-1
15,0.6621902941778719,0.042046722509748446,0.547365569692216,0.01593152828580093,0.6124632094033962,0.033003951071689075,0.549037468714291,0.03988412299358343,0.6621902941778719,0.042046722509748446,0.5353198121393475,0.03278754933744285,0.6275308959283006,0.039476688563555094,gini,,sqrt,10.0,100,50,-1
16,0.6581632653061225,0.04308204539710694,0.5418440265007775,0.02079695115609212,0.6088612760567762,0.03636899724866546,0.5459820330576981,0.04142180571774133,0.6581632653061225,0.04308204539710694,0.5317171128023527,0.03422389580587775,0.6240262381402863,0.04091396412496539,gini,,sqrt,10.0,100,100,-1
17,0.6574636543580643,0.04199228874461476,0.5382180812009687,0.02522307112559881,0.6058823364976814,0.037414487882996374,0.5466411937553538,0.0395190096962333,0.6574636543580643,0.04199228874461476,0.530665563648178,0.03428237776309404,0.6222894717828514,0.040000679166983834,gini,,sqrt,10.0,100,200,-1
18,0.7037232953382022,0.028636635381780524,0.658888727917317,0.026184881101457586,0.6865311068634037,0.026191875967732873,0.6075785507003448,0.031007389961135615,0.7037232953382022,0.028636635381780524,0.6057311495233237,0.025007588137757386,0.6807874260688453,0.0270078974281623,gini,,sqrt,50.0,2,50,-1
19,0.706828885400314,0.031347144298452465,0.6857451399901664,0.04379448445160416,0.6986948266174596,0.035993867252570526,0.6094193739922655,0.030237595907144248,0.706828885400314,0.031347144298452465,0.6032394311195582,0.022174182499700358,0.6811609839619167,0.027655046428873835,gini,,sqrt,50.0,2,100,-1
20,0.7066753122653744,0.029370021562812244,0.669310646902127,0.026044653652212806,0.6914264163989232,0.027302517729398342,0.6103217085252931,0.028028442804590496,0.7066753122653744,0.029370021562812244,0.6063411525661891,0.0202748086758196,0.6821933123638865,0.025859655586088194,gini,,sqrt,50.0,2,200,-1
21,0.7052590266875982,0.031236638808848635,0.6704651432501152,0.028715143766610586,0.6909720836761066,0.029527669548715187,0.6074316326417664,0.030426892751281617,0.7052590266875982,0.031236638808848635,0.6012048567017264,0.022698262858610006,0.6791917636421185,0.026909843197547557,gini,,sqrt,50.0,50,50,-1
22,0.7074090505767524,0.03100701031741455,0.6680055922814696,0.028784321519318028,0.6916618810293713,0.02925207784829898,0.6108262392712508,0.02952146831215046,0.7074090505767524,0.03100701031741455,0.6057349550821125,0.021103438742484017,0.6824239680066837,0.02694139278730847,gini,,sqrt,50.0,50,100,-1
23,0.7080233431165108,0.02997161244581966,0.6795085972767247,0.03412181905157638,0.6968132014671494,0.030691770003733403,0.6108076290824814,0.028671925687809328,0.7080233431165108,0.02997161244581966,0.6055181792512443,0.0203141727619499,0.6827555590603899,0.025473951889681157,gini,,sqrt,50.0,50,200,-1
24,0.7041669510613611,0.03378944623917405,0.6708788758326362,0.03324169027505428,0.6903207023231986,0.033839045626106894,0.6068351949517699,0.029858062904050648,0.7041669510613611,0.03378944623917405,0.6017057253107626,0.021027925797937715,0.6786243986852322,0.029495814764369892,gini,,sqrt,50.0,100,50,-1
