BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,BUILDING TYPE
Manhattan,6,1,7,0.0005912541683418868,0.0026222715777489526,1890,10.0,MIXED USE
Manhattan,0,2,2,0.0008506964974103067,0.0057543330138259165,1920,19000000.0,COMMERCIAL
Manhattan,0,14,14,0.0006692997185630159,0.003799427552915361,1915,9375000.0,COMMERCIAL
Manhattan,1,3,4,0.0002109594872643852,0.000475661666975509,1920,3000000.0,MIXED USE
Manhattan,2,2,4,0.00032164226757798643,0.000872935144438238,1920,4350000.0,MIXED USE
Manhattan,0,2,2,0.00025967883073575666,0.000723091054281155,1915,2700000.0,COMMERCIAL
Manhattan,0,1,1,0.000579429084975049,0.0022796565317492164,1910,6780000.0,COMMERCIAL
Manhattan,0,8,8,0.0008194782773218552,0.005590624345931879,1900,15500000.0,COMMERCIAL
Manhattan,7,1,8,0.0006227088900976752,0.003199517939297146,1915,141500000.0,MIXED USE
Manhattan,6,1,7,0.0010406073362817208,0.005823122649520805,1915,15000000.0,MIXED USE
Manhattan,18,1,19,0.0009053283825650971,0.006511818885954516,1920,21250000.0,MIXED USE
Manhattan,5,1,6,0.0004439136295910886,0.002368976407554595,1915,10725000.0,MIXED USE
Manhattan,0,5,5,0.0011266939431922994,0.005519168445287576,1920,17850000.0,COMMERCIAL
Manhattan,0,5,5,0.0011266939431922994,0.005519168445287576,1920,3150000.0,COMMERCIAL
Manhattan,0,6,6,0.00059976822836601,0.002932891444355717,1915,11500000.0,COMMERCIAL
Manhattan,8,0,8,0.0004748953480122035,0.0010665059797657153,1920,10.0,RESIDENTIAL
Manhattan,10,0,10,0.0005936191850152544,0.002179671596146181,1901,3100000.0,RESIDENTIAL
Manhattan,12,0,12,0.0005936191850152544,0.002179671596146181,1901,12400000.0,RESIDENTIAL
Manhattan,5,0,5,0.0004947614880684909,0.0010985011591586867,1920,7000000.0,RESIDENTIAL
Manhattan,16,2,18,0.0007882600572334035,0.0032875046826278172,1910,11500000.0,MIXED USE
Manhattan,12,0,12,0.0005917271716765603,0.0025662800138112523,1910,11435000.0,RESIDENTIAL
Manhattan,11,1,12,0.0005931461816805809,0.002675596876737238,1901,10.0,MIXED USE
Manhattan,12,1,13,0.0005931461816805809,0.002675596876737238,1901,10.0,MIXED USE
Manhattan,7,0,7,0.0005699690182815789,0.002697993502312318,2016,15093194.0,RESIDENTIAL
Manhattan,0,1,1,0.0011874748716978454,0.0007665511729566079,1940,21500000.0,COMMERCIAL
Manhattan,0,2,2,0.0017810940567131,0.004015928266807801,1940,18500000.0,COMMERCIAL
Manhattan,0,2,2,0.0011874748716978454,0.0023591112272417624,1910,8010000.0,COMMERCIAL
Manhattan,0,2,2,0.0005936191850152544,8.958650230032009e-05,1998,4700000.0,COMMERCIAL
Manhattan,2,1,3,0.0002838020008041057,0.0008958650230032008,1900,3000000.0,MIXED USE
Manhattan,2,1,3,0.00030272213419104603,0.0015784288500532587,1899,6800000.0,MIXED USE
Manhattan,2,0,2,0.0003015396258543623,0.0007038939466453721,1899,4000000.0,RESIDENTIAL
Manhattan,28,2,30,0.0010749000780455502,0.005392520860190398,1900,13835000.0,MIXED USE
Manhattan,20,0,20,0.0009845564411229098,0.0024494976090269067,1920,5292000.0,RESIDENTIAL
Manhattan,21,0,21,0.0005070595747700021,0.001998365579586009,1920,5381394.0,RESIDENTIAL
Manhattan,24,0,24,0.0005735165432916303,0.0018663854645900018,1900,6354000.0,RESIDENTIAL
Manhattan,24,0,24,0.0005735165432916303,0.0018663854645900018,1900,6354000.0,RESIDENTIAL
Manhattan,24,0,24,0.00053709528652177,0.0026907945869489,1910,10.0,RESIDENTIAL
Manhattan,19,1,20,0.0005763545632996713,0.0029075619273362815,1900,12326000.0,MIXED USE
Manhattan,24,2,26,0.000560272449920772,0.00279157940203676,1900,10025000.0,MIXED USE
Manhattan,11,1,12,0.0004351630678996287,0.0020508909990894705,1900,8300000.0,MIXED USE
Manhattan,48,0,48,0.002105810845966464,0.006828304535449992,1920,30449204.0,RESIDENTIAL
Manhattan,4,2,6,0.00029326206749757586,0.0013544625943024584,1900,5825000.0,MIXED USE
Manhattan,2,2,4,0.0007884965589007402,0.0037676990000173305,1920,9100000.0,MIXED USE
Manhattan,2,1,3,0.0005385142965257905,0.0015448339116906386,1900,4550000.0,MIXED USE
Manhattan,22,2,24,0.0005817941016484166,0.003076336498634206,1920,11000000.0,MIXED USE
Manhattan,4,3,7,0.00042120946952676016,0.001329932956767847,1915,12750000.0,MIXED USE
Manhattan,0,35,35,0.002335453964950453,0.038760026822625394,1924,108000000.0,COMMERCIAL
Manhattan,0,55,55,0.007272426270605208,0.17223458332277936,1969,565000000.0,COMMERCIAL
Manhattan,0,17,17,0.0014012723789702717,0.017144083624733873,1911,54000000.0,COMMERCIAL
Manhattan,0,12,12,0.001167608731641558,0.01479057155388588,1926,1161500.0,COMMERCIAL
Manhattan,0,12,12,0.0017184211148688598,0.02169673102585877,1907,5000000.0,COMMERCIAL
Manhattan,0,15,15,0.0016540926613532625,0.02118747442052064,1913,220000.0,COMMERCIAL
Manhattan,0,1,1,0.0017515313482960055,0.021596746090255733,2007,105592700.0,COMMERCIAL
Manhattan,0,1,1,0.0017515313482960055,0.0471928896046329,2010,128177800.0,COMMERCIAL
